Name,Regular_price,Images,Categories,Description
Malene Zapffe - Pung med lynlås 25 cm.,375,"https://www.1x1textil.dk/wp-content/uploads/2025/12/img_0991-scaled.jpeg, https://www.1x1textil.dk/wp-content/uploads/2025/12/img_0992-scaled.jpeg, https://www.1x1textil.dk/wp-content/uploads/2025/12/img_0995-scaled.jpeg","Boligtekstil, Kunsthåndværkere, Kunsthåndværkere > Malene Zapffe, Produkter > Nyheder, Tasker, Produkter > Tekstil",
Malene Zapffe - Pung med lynlås 30 cm.,450,https://www.1x1textil.dk/wp-content/uploads/2025/12/img_6876.jpeg,"Boligtekstil, Kunsthåndværkere, Kunsthåndværkere > Malene Zapffe, Produkter > Nyheder, Tasker, Produkter > Tekstil",
Malene Zapffe - Kaffehætter medium/large,375,"https://www.1x1textil.dk/wp-content/uploads/2025/12/img_0989-scaled.jpeg, https://www.1x1textil.dk/wp-content/uploads/2025/12/img_0988-scaled.jpeg","Boligtekstil, Kunsthåndværkere, Kunsthåndværkere > Malene Zapffe, Produkter > Nyheder, Produkter > Tekstil",
Malene Zapffe - The hætte large,375,https://www.1x1textil.dk/wp-content/uploads/2025/12/img_0988-2-scaled.jpeg,"Boligtekstil, Kunsthåndværkere, Kunsthåndværkere > Malene Zapffe, Produkter > Nyheder, Produkter > Tekstil",
Malene Zapffe - Kaffehætte small,350,https://www.1x1textil.dk/wp-content/uploads/2025/12/img_0989-1-scaled.jpeg,"Boligtekstil, Kunsthåndværkere, Kunsthåndværkere > Malene Zapffe, Produkter > Nyheder, Produkter > Tekstil",
