Name,Regular_price,Images,Categories,Description
Ditte Gren Øreringe i sort og grå,695,https://www.1x1textil.dk/wp-content/uploads/2025/12/IMG_1951-scaled.jpeg,"Kunsthåndværkere > Ditte Gren, Kunsthåndværkere > Ditte Gren, Produkter > Nyheder, Smykker > Øreringe, Smykker",Ditte Gren Øreringe med perler i sort og grå og forgyldt sølv.
Ditte Gren Øreringe i coral,695,https://www.1x1textil.dk/wp-content/uploads/2025/12/Ditte-Gren-3-scaled.jpg,"Kunsthåndværkere > Ditte Gren, Kunsthåndværkere > Ditte Gren, Produkter > Nyheder, Smykker > Øreringe, Smykker",Ditte Gren Øreringe med perler i flere farver og forgyldt sølv.
Ditte Gren Øreringe i hvid og forgyldt sølv,"695,-",https://www.1x1textil.dk/wp-content/uploads/2026/01/IMG_1953-scaled.jpeg,"Kunsthåndværkere > Ditte Gren, Kunsthåndværkere > Ditte Gren, Produkter > Nyheder, Smykker > Øreringe, Smykker",Ditte Gren Øreringe med perler i hvid farve.
Ditte Gren Øreringe i brun og lilla,695,https://www.1x1textil.dk/wp-content/uploads/2026/02/IMG_1946-scaled.jpeg,"Kunsthåndværkere > Ditte Gren, Kunsthåndværkere > Ditte Gren, Produkter > Nyheder, Smykker > Øreringe, Smykker",Ditte Gren Øreringe med perler i flere farver og forgyldt sølv.
